1 850
1 740
1 900
1 1070
1 930
1 850
1 950
1 980
1 980
1 880
1 1000
1 980
1 930
1 650
1 760
1 810
1 1000
1 1000
1 960
1 960
1 960
1 940
1 960
1 940
1 880
1 800
1 850
1 860
1 900
1 840
1 830
1 790
1 810
1 880
1 880
1 830
1 800
1 790
1 760
1 800
1 880
1 880
1 880
1 860
1 720
1 720
1 620
1 860
1 970
1 950
1 880
1 910
1 850
1 870
1 840
1 840
1 850
1 840
1 840
1 840
1 890
1 810
1 810
1 820
1 800
1 770
1 760
1 740
1 750
1 760
1 910
1 920
1 890
1 860
1 880
1 720
1 840
1 850
1 850
1 780
1 890
1 840
1 780
1 810
1 760
1 810
1 790
1 810
1 820
1 850
1 870
1 870
1 810
1 740
1 810
1 940
1 950
1 800
1 810
1 870
2 742
2 766
2 682
2 791
2 670
2 1614
2 754
2 887
2 597
2 1104
2 730
2 815
2 791
2 827
2 778
2 718
2 803
2 730
2 706
2 851
3 791
3 839
3 646
3 694
3 646
3 742
3 778
3 827
3 742
3 730
3 634
3 778
3 742
3 766
3 718
3 694
3 646
3 766
3 718
3 815
4 646
4 803
4 754
4 754
4 742
4 754
4 706
4 754
4 766
4 682
4 766
4 694
4 694
4 791
4 609
4 742
4 791
4 778
4 694
4 778
4 730
4 754
4 742
4 730
4 887
4 803
5 883
5 816
5 778
5 796
5 682
5 711
5 611
5 599
5 1051
5 781
5 678
5 796
5 774
5 820
5 772
5 696
5 673
5 748
5 748
5 797
5 851
5 809
5 723
