   1               31            63              4                                 
   2               32            56              6       
   3               50            59              9       
   4               56            72              7       
   5               39            87              9       
   6               46            95              8       
   7               29            57              5       
   8               40            50              3       
   9               29            44              4       
  10               24            42              3

