Control 1202.6
Control  830.1
Control  372.4
Control 345.5
Control 321.2
Control 244.3
Control 163.0
Control 147.8
Control  95.0
Control 87.0
Control 81.2
Control 68.5
Control 47.3
Control 41.1
Control 36.6
Control 29.0
Control 28.6
Control 26.3
Control 24.4
Control 21.7
Control 17.3
Control 11.5
Control 4.9
Control 4.9
Control 1.0
Seeded 2745.6
Seeded 1697.8
Seeded 1656.0
Seeded  978.0
Seeded  703.4
Seeded  489.1
Seeded  430.0
Seeded  334.1
Seeded  302.8
Seeded  274.7
Seeded  274.7
Seeded  255.0
Seeded  242.5
Seeded  200.7
Seeded  198.6
Seeded  129.6
Seeded  119.0
Seeded  118.3
Seeded  115.3
Seeded  92.4
Seeded  40.6
Seeded  32.7
Seeded  31.4
Seeded  17.5
Seeded    7.7
Seeded    4.1

