 1 1 2.96 596
 2 1 3.14 473
 3 1 3.22 482
 4 1 3.29 527
 5 1 3.69 505
 6 1 3.46 693
 7 1 3.03 626
 8 1 3.19 663
 9 1 3.63 447
10 1 3.59 588
11 1 3.30 563
12 1 3.40 553
13 1 3.50 572
14 1 3.78 591
15 1 3.44 692
16 1 3.48 528
17 1 3.47 552
18 1 3.35 520
19 1 3.39 543
20 1 3.28 523
21 1 3.21 530
22 1 3.58 564
23 1 3.33 565
24 1 3.40 431
25 1 3.38 605
26 1 3.26 664
27 1 3.60 609
28 1 3.37 559
29 1 3.80 521
30 1 3.76 646
31 1 3.24 467
32 2 2.54 446
33 2 2.43 425
34 2 2.20 474
35 2 2.26 531
36 2 2.57 542
37 2 2.35 406
38 2 2.51 412
39 2 2.51 458
40 2 2.36 399
41 2 2.36 482
42 2 2.66 420
43 2 2.68 414
44 2 2.48 533
45 2 2.46 509
46 2 2.63 504
47 2 2.44 336
48 2 2.13 408
49 2 2.41 469
50 2 2.55 538
51 2 2.31 505
52 2 2.41 489
53 2 2.19 411
54 2 2.35 321
55 2 2.60 394
56 2 2.55 528
57 2 2.72 399
58 2 2.85 381
59 2 2.90 384
60 3 2.86 494
61 3 2.85 496
62 3 3.14 419
63 3 3.28 371
64 3 2.89 447
65 3 3.15 313
66 3 3.50 402
67 3 2.89 485
68 3 2.80 444
69 3 3.13 416
70 3 3.01 471
71 3 2.79 490
72 3 2.89 431
73 3 2.91 446
74 3 2.75 546
75 3 2.73 467
76 3 3.12 463
77 3 3.08 440
78 3 3.03 419
79 3 3.00 509
80 3 3.03 438
81 3 3.05 399
82 3 2.85 483
83 3 3.01 453
84 3 3.03 414
85 3 3.04 446
