 1 1 1 40
 1 1 2 39
 1 2 1 30
 1 2 2 30
 2 1 1 26
 2 1 2 28
 2 2 1 25
 2 2 2 26
 3 1 1 29
 3 1 2 28
 3 2 1 14
 3 2 2 15
 4 1 1 30
 4 1 2 31
 4 2 1 24
 4 2 2 24
 5 1 1 19
 5 1 2 20
 5 2 1 17
 5 2 2 17
 6 1 1 33
 6 1 2 32
 6 2 1 26
 6 2 2 24
 7 1 1 23
 7 1 2 24
 7 2 1 32
 7 2 2 33
 8 1 1 34
 8 1 2 34
 8 2 1 29
 8 2 2 29
 9 1 1 27
 9 1 2 27
 9 2 1 31
 9 2 2 31
10 1 1 13
10 1 2 16
10 2 1 27
10 2 2 24
11 1 1 25
11 1 2 23
11 2 1 25
11 2 2 27
12 1 1 29
12 1 2 29
12 2 1 31
12 2 2 32
13 1 1 19
13 1 2 20
13 2 1 29
13 2 2 30
14 1 1 23
14 1 2 24
14 2 1 25
14 2 2 25
15 1 1 39
15 1 2 37
15 2 1 26
15 2 2 28
