       37.00  37.80  36.60   39.60  41.00   41.00  41.30   45.70  45.10    43.10     39.00
       39.50  42.20  40.00   42.30  40.60   40.80  42.00   43.70  41.00    43.96     39.00
       37.10  38.00  37.70   42.20  41.60   43.50  48.70   49.70  44.80    47.00     40.00
       37.00  37.80  36.60   39.60  41.00   44.80  44.50   49.40  44.60    47.70     36.00
       42.20  44.50  41.90   43.40  43.00   47.20  49.10   49.90  46.80    52.30     34.00
       43.00  44.60  41.20   42.10  42.50   46.80  47.50   55.80  56.60    58.60     46.00
       43.20  44.40  41.00   43.40  43.00   47.20  52.40   57.30  54.40    53.50     35.00
       43.20  46.70  44.80   47.50  47.40   47.70  49.90   52.10  50.70    50.00     47.00
       38.50  41.40  40.10   43.20  43.20   51.50  56.70   71.50  56.20    48.20     30.00
       42.50  43.10  40.60   44.50  45.40   52.30  59.70   59.30  55.00    49.60     40.00
       38.00  40.10  39.10   43.80  46.60   51.90  59.20   63.50  57.60    58.40     48.00
       46.00  50.40  46.80   47.40  44.10   43.40  46.30   55.00  64.90    56.20     39.00
       44.80  46.00  43.10   46.50  46.30   49.00  52.50   58.40  60.90    55.20     32.00
       44.80  46.00  43.10   46.50  46.30   49.00  52.50   58.40  60.90    55.20     43.00
       47.00  49.40  46.80   48.60  47.80   50.80  50.30   54.00  54.40    53.60     35.00
       45.00  46.70  45.30   49.90  47.80   51.20  54.10   58.70  53.30    50.70     47.00
       45.00  46.70  43.80   48.00  47.20   47.50  51.70   57.30  60.40    55.60     38.00
       43.10  44.50  41.00   42.50  40.60   42.80  46.50   73.20  70.80    63.40     25.00
       45.20  46.90  45.50   48.80  50.10   51.20  56.40   55.20  56.60    53.50     49.00
       43.00  46.10  44.70   47.40  47.10   46.80  54.60   60.40  68.00    51.60     50.00
       38.30  41.60  39.60   40.70  41.60   41.60  47.20   62.40  82.70    77.10     24.00
       45.00  47.10  45.30   49.10  46.80   47.40  50.30   55.10  66.40    64.60     51.00
       43.20  46.10  45.20   48.40  49.90   49.60  52.70   58.10  62.80    62.60     41.00
       41.20  44.60  43.80   48.40  48.80   53.40  58.90   68.60  59.10    53.40     41.00
       49.20  48.80  48.70   51.80  48.20   52.80  50.20   58.00  58.70    57.50     47.00
       48.00  52.90  49.60   50.10  48.10   48.10  49.10   54.60  62.70    64.00     43.00
       46.00  49.90  47.70   50.40  52.90   51.40  55.60   57.80  59.70    55.80     41.00
