 1  468  41  26
 2  428  39  26
 3  514  53  21
 4  547  67  33
 5  614  61  27
 6  501  67  29
 7  421  46  22
 8  527  50  23
 9  527  55  19
10  620  72  32
11  587  63  31
12  541  59  19
13  561  53  26
14  468  62  20
15  614  65  28
16  527  48  21
17  507  32  27
18  580  64  21
19  507  59  21
20  521  54  23
21  574  52  25
22  587  64  31
23  488  51  27
24  488  62  18
25  587  56  26
26  421  38  16
27  481  52  26
28  428  40  19
29  640  65  25
30  574  61  28
31  547  64  27
32  580  64  28
33  494  53  26
34  554  51  21
35  647  58  23
36  507  65  23
37  454  52  28
38  427  57  21
39  521  66  26
40  468  57  14
41  587  55  30
42  507  61  31
43  574  54  31
44  507  53  23
45  494  41  24
46  541  47  25
47  362  36  17
48  408  28  17
49  594  68  23
50  501  25  26
51  687  75  33
52  633  52  31
53  647  67  29
54  647  65  34
55  614  59  25
56  633  65  28
57  448  55  24
58  408  51  19
59  441  35  22
60  435  60  20
61  501  54  21
62  507  42  24
63  620  71  36
64  415  52  20
65  554  69  30
66  348  28  18
67  468  49  25
68  507  54  26
69  527  47  31
70  527  47  26
71  435  50  28
72  660  70  25
73  733  73  33
74  507  45  28
75  527  62  29
76  428  37  19
77  481  48  23
78  507  61  19
79  527  66  23
80  488  41  28
81  607  69  28
82  561  59  34
83  614  70  23
84  527  49  30
85  474  41  16
86  441  47  26
87  607  67  32
