1 23 50 59 10
1 70 30 79 18
1 25 50 86 22
1  0 40 67 16
1  0 25 70 20
1 20 60 78 22
1 97 65 75 22
1  1 45 61 22
1 30 45 65 16
1 23 40 64 18
1 97 60 77 20
1 25 40 78  8
1 90 50 67 22
1 45 50 60  8
1 20 25 73 12
1 50 60 77 18
1 11 50 68 16
1  0 15 54 22
1 25 55 71 22
1 25 65 78 20
1 55 50 67 22
1 90 50 84 22
1 75 70 66 44
2 30 75 77 28
2 90 75 81 16
2 40 40 91 16
2 55 65 67 20
2 55 35 73 26
2 85 35 70 48
2 70 45 74 22
2 30 35 70 24
2 55 45 88 22
2 90 75 85 14
2 30 40 80 22
2 45 60 81 12
2 55 70 79 18
2 85 35 81 26
2 65 75 80 12
2 85 60 87 36
2 50 55 75  8
2 75 60 83 24
2 50 60 82 26
2 55 40 67 18
2 65 50 85 24
2 85 65 83 24
2 96 50 78 32
2 99 40 75 18
2 90 45 75 26
2 90 25 65 40
2 75 55 81 20
2 90 30 73 20
2 97 45 80 24
2 90 65 80 26
2 80 35 73 14
2 50 65 76  8
2 90 75 85 24
2 25 50 59 12
2 40 30 58 16
2 55 35 87 20
2 55 35 74 12
2 85 70 79 20
3 75 55 74 32
3 11 30 69 22
3 11 45 59 12
3 11 40 69 28
3 10 30 72 4
3 25 50 67 37
3 40 40 88 28
3  0 30 75 24
3  1 45 66 12
3 11 25 63 30
3  0 35 63 14
3 65 55 67 26
3 75 45 80 26
3 65 45 72 32
3 40 35 66 44
3 40 30 64 18
3 30 25 69 44
3 11 40 58 48
3  0 35 59 12
3  5 35 58 54
3 50 30 73 24
