 1   1.103     1.052
 2   0.842     0.859
 3   0.925     0.873
 4   0.857     0.744
 5   0.795     0.809
 6   0.787     0.779
 7   0.933     0.880
 8   0.799     0.851
 9   0.945     0.876
10   0.921     0.906
11   0.792     0.825
12   0.815     0.751
13   0.755     0.724
14   0.880     0.866
15   0.900     0.838
16   0.764     0.757
17   0.733     0.748
18   0.932     0.898
19   0.856     0.786
20   0.890     0.950
21   0.688     0.532
22   0.940     0.850
23   0.493     0.616
24   0.835     0.752
25   0.915     0.936
