 41.852 38.75  69.68 170.83 45 219.74
155.329 51.87 113.46 230.06 25 181.22
 99.628 53.79 113.54 228.19 65 179.06
 49.409 53.84 118.75 117.73 65 281.30
 72.958 49.17 119.72 117.69 25 282.20
107.702 47.61 168.38 173.46 45 216.14
 97.239 64.19 169.85 169.85 45 223.88
105.856 52.73 169.85 170.86 45 222.80
 99.348 51.00 170.89 173.92 80 218.84
111.907 47.37 171.31 173.34 25 218.12
100.008 43.18 171.43 171.43 45 219.20
175.380 71.23 171.59 263.49 45 168.62
117.800 49.30 171.63 171.63 45 217.58
217.409 50.87 171.93 170.91 10 219.92
 41.725 54.44 173.92  71.73 45 296.60
151.139 47.93 221.44 217.39 65 189.14
220.630 42.91 222.74 221.73 25 186.08
131.666 66.60 228.90 114.40 25 285.80
 80.537 64.94 231.19 113.52 65 286.34
152.966 43.18 236.84 167.77 45 221.72
